的	〔白_勹_丶〕
郊	〔亠_八_乂_阝〕
肠	〔月__〕
玲	〔王_人_〕
泳	〔氵_永〕
奸	〔女_一_十〕
钧	〔钅_勹_冫〕
闯	〔门_马〕
膝	〔月_木_人_氺〕
竭	〔立_日_匃〕
锡	〔钅_日_勹_〕
辰	〔辰〕
鼠	〔臼_____〕
肖	〔⺌_〕
咖	〔口_力_口〕
剂	〔文__刂〕
衬	〔衤_寸〕
谎	〔讠_艹_亡_〕
萄	〔艹_勹__十_凵〕
啡	〔口_非〕
辨	〔辛__辛〕
辅	〔_甫〕
咽	〔口_因〕
挪	〔扌__二_丿_阝〕
歉	〔__欠〕
逸	〔辶_⺈_口_儿_丶〕
叉	〔又_丶〕
恒	〔忄_二_日〕
鹰	〔广_亻_隹_鸟〕
歪	〔不_一_止〕
舆	〔_车_八〕
嘲	〔口_十_日_十_月〕
嗯	〔口_因_心〕
琛	〔王_冖_八_木〕
棚	〔木_月_月〕
穴	〔穴〕
棵	〔木_日_木〕
遣	〔辶_中_一_〕
驰	〔马_也〕
凄	〔冫_一__女〕
晶	〔日_日_日〕
湘	〔氵_木_目〕
蕾	〔艹__田〕
缴	〔纟_白_方_攵〕
嫩	〔女_木_口_攵〕
涵	〔氵_乛_氺_凵〕
爽	〔大_乂_乂_乂_乂〕
纲	〔纟_冈〕
昔	〔_日〕
浦	〔氵_甫〕
剥	〔彐_氺_刂〕
兆	〔_儿〕
锅	〔钅_口_冂_人〕
渊	〔氵__米〕
姻	〔女_因〕
钉	〔钅_丁〕
殷	〔⺁_彐__殳〕
贩	〔贝_⺁_又〕
纱	〔纟_小_丿〕
饼	〔饣__廾〕
搁	〔扌_门_夂_口〕
稻	〔禾_爫_臼〕
绸	〔纟_冂_土_口〕
泄	〔氵_世_〕
逆	〔辶__〕
乳	〔爫_子_乚〕
契	〔丰_刀_大〕
黛	〔亻_弋__土_灬〕
媳	〔女_自_心〕
漆	〔氵_木_人_氺〕
雇	〔户_隹〕
枯	〔木_十_口〕
泡	〔氵_勹_巳〕
盐	〔土_卜_皿〕
蠢	〔春_虫_虫〕
帘	〔穴_巾〕
筋	〔⺮_月_力〕
绅	〔纟_申〕
巷	〔_八_巳〕
蒋	〔艹_丬_夕_寸〕
讽	〔讠_几_乂〕
蔡	〔艹__示〕
颈	〔_工_页〕
叠	〔又_又_又_冖_且〕
堵	〔土_者〕
绵	〔纟_白_巾〕
掘	〔扌_尸_屮_凵〕
趁	〔走_人_彡〕
摔	〔扌_亠___厶_十〕
鹤	〔冖_隹_鸟〕
媚	〔女__目〕
晤	〔日_工__口〕
纺	〔纟_方〕
寡	〔宀_一_自_八_刀〕
搏	〔扌_甫_寸〕
歧	〔止_十_又〕
侦	〔亻__贝〕
辖	〔_宀_丰_口〕
掠	〔扌_亠_口_小〕
胳	〔月_夂_口〕
拐	〔扌_口_力〕
烛	〔火_虫〕
窃	〔穴__刀〕
冻	〔冫__小〕
祭	〔_示〕
酬	〔酉__川〕
茂	〔艹_戊〕
趟	〔走_⺌_冋〕
攀	〔木_乂_乂_木_大_手〕
喉	〔口_亻__矢〕
喃	〔口_十_〕
恳	〔艮_心〕
眠	〔目__〕
浴	〔氵_八_人_口〕
旬	〔勹_日〕
粒	〔米_立〕
丫	〔丷_丨〕
巩	〔工_几_丶〕
拘	〔扌_勹_口〕
赚	〔贝__〕
纤	〔纟_千〕
琼	〔王_亠_口_小〕
泊	〔氵_白〕
哎	〔口_艹_乂〕
娱	〔女_口_一_大〕
娅	〔女_一_业〕
薇	〔艹_彳_山_一_几_攵〕
棒	〔木__〕
祷	〔礻_丰_丿_寸〕
坟	〔土_文〕
嘻	〔口_士_口__口〕
匠	〔匚_斤〕
携	〔扌_隹__丿〕
噢	〔口__米_大〕
榜	〔木__冖_方〕
吼	〔口_子_乚〕
桶	〔木__〕
踢	〔_日_勹_〕
颊	〔二_火_页〕
淮	〔氵_隹〕
陌	〔阝_一_白〕
峻	〔山_厶_八_夂〕
斋	〔文_而〕
岚	〔山_几_乂〕
柬	〔木_〕
霜	〔_木_目〕
晕	〔日_冖_车〕
逊	〔辶_子_小〕
抄	〔扌_小_丿〕
蔬	〔艹_乛_止_亠_厶_〕
斥	〔斤_丶〕
冤	〔冖_⺈_口_儿_丶〕
梳	〔木_亠_厶_〕
哟	〔口_纟_勹_丶〕
寞	〔宀_艹_日_大〕
嘿	〔口__土_灬〕
蛮	〔_虫〕
帜	〔巾_口_八〕
膊	〔月_甫_寸〕
饶	〔饣__兀〕
炭	〔山__火〕
怔	〔忄_一_止〕
吩	〔口_八_刀〕
哄	〔口__八〕
筒	〔⺮_同〕
佐	〔亻__工〕
咨	〔冫_欠_口〕
绣	〔纟_禾__丿〕
哑	〔口_一_业〕
帅	〔_巾〕
胀	〔月_长〕
壶	〔士_冖_业〕
鲍	〔鱼_勹_巳〕
捏	〔扌_日_土〕
裹	〔亠_日_木_〕
刹	〔乂_木_刂〕
栽	〔𢦏_木〕
钩	〔钅_勹_厶〕
笨	〔⺮_木_一〕
辣	〔辛_木_口〕
枕	〔木_冖_儿〕
僵	〔亻_三_田_田〕
嗓	〔口_又_又_又_木〕
藤	〔艹_月__氺〕
棍	〔木_日__匕〕
瞬	〔目_爫_冖_夕_〕
稽	〔禾_尤_匕_日〕
谱	〔讠__业_日〕
耍	〔而_女〕
株	〔木__小〕
泣	〔氵_立〕
裳	〔⺌_冖_口_亠_〕
厢	〔厂_木_目〕
珊	〔王___一〕
刮	〔舌_刂〕
坊	〔土_方〕
儒	〔亻__而〕
磁	〔石___厶__厶〕
砍	〔石_欠〕
祈	〔礻_斤〕
隶	〔_氺〕
乖	〔千__匕〕
茅	〔艹__乛_亅_丿〕
叛	〔_⺁_又〕
砖	〔石_二__丶〕
躯	〔身_匚_乂〕
瞒	〔目_艹_一_冂_人_人〕
俯	〔亻_广_亻_寸〕
咒	〔口_口_几〕
驳	〔马_乂_乂〕
蹈	〔_爫_臼〕
栗	〔覀_木〕
汝	〔氵_女〕
焰	〔火_⺈_臼〕
骚	〔马_又_丶_虫〕
谣	〔讠_爫__十_凵〕
嘱	〔口_尸__虫_冂〕
灿	〔火_山〕
庸	〔广_肀_〕
疫	〔疒_殳〕
宰	〔宀_辛〕
厄	〔厂_⺋〕
篷	〔⺮_辶_夂_丰〕
绒	〔纟_戈_〕
咳	〔口_亠__人〕
桐	〔木_同〕
滥	〔氵_〢__皿〕
瑰	〔王_鬼〕
钥	〔钅_月〕
琪	〔王_其〕
憾	〔忄_戊_一_口_心〕
斌	〔文_一_弋_止〕
罕	〔冖_八_一_十〕
舰	〔舟_见〕
薛	〔艹___辛〕
颠	〔十__八_页〕
颂	〔八_厶_页〕
桩	〔木_广_土〕
弦	〔弓_亠__厶〕
婴	〔贝_贝_女〕
瞎	〔目_宀_丰_口〕
躬	〔身_弓〕
狭	〔犭_二_火〕
怯	〔忄_土_厶〕
彰	〔立_日_十_彡〕
圾	〔土__丿_〕
垃	〔土_立〕
舱	〔舟_人_⺋〕
咕	〔口_十_口〕
饥	〔饣_几〕
玫	〔王_攵〕
鸭	〔甲_鸟〕
斑	〔王_文_王〕
颖	〔匕_禾_页〕
敞	〔⺌_冋_攵〕
淋	〔氵_木_木〕
坑	〔土_亠_几〕
掀	〔扌_斤_欠〕
萝	〔艹_罒_夕〕
硕	〔石_页〕
宙	〔宀_由〕
鹿	〔广__〢__匕〕
囊	〔一_中_冖_口_口__〕
懈	〔忄_⺈_用_刀_牛〕
衔	〔行_钅〕
溢	〔氵__八_皿〕
狐	〔犭_瓜〕
窄	〔穴__〕
邹	〔⺈_彐_阝〕
乾	〔十_日_十__乙〕
桢	〔木__贝〕
蝶	〔虫_世__木〕
淘	〔氵_勹__十_凵〕
狮	〔犭__一_巾〕
蜂	〔虫_夂_丰〕
弘	〔弓_厶〕
沾	〔氵__口〕
妒	〔女_户〕
妆	〔丬_女〕
雀	〔小_隹〕
胶	〔月_亠_八_乂〕
竖	〔〢_又_立〕
坎	〔土_欠〕
滞	〔氵__冖_巾〕
铭	〔钅_夕_口〕
魅	〔鬼_二_小〕
浸	〔氵_彐_冖_又〕
暑	〔日_者〕
惶	〔忄_白_王〕
躁	〔_口_口_口_木〕
肿	〔月_中〕
糕	〔米_⺷_灬〕
侮	〔亻__母〕
崖	〔山_厂_土_土〕
逗	〔辶_一_口_〕
凳	〔_一_口__几〕
鄙	〔口_十_囗_口_阝〕
晰	〔日_木_斤〕
胎	〔月_厶_口〕
肌	〔月_几〕
顷	〔_页〕
贱	〔贝_戋〕
倚	〔亻_大_丁_口〕
衍	〔行_氵〕
罐	〔_十_凵_艹_口_口_隹〕
匙	〔是_匕〕
塘	〔土_广_肀_口〕
呜	〔口_乌〕
瞥	〔氺_冂_攵_目〕
荐	〔艹__丨_子〕
帆	〔巾_几_丶〕
阐	〔门_丷_日_十〕
萍	〔艹_氵_一_〕
柄	〔木_一_冂_人〕
侄	〔亻_至〕
裸	〔衤_日_木〕
哨	〔口_⺌_〕
妄	〔亡_女〕
歹	〔一_夕〕
淫	〔氵_爫__士〕
拚	〔扌_厶_廾〕
喻	〔口_人_一__刂〕
匪	〔匚_非〕
薪	〔艹_立_木_斤〕
秃	〔禾_几〕
恕	〔女_口_心〕
艇	〔舟_廴__士〕
屡	〔尸_米_女〕
删	〔__一_刂〕
翔	〔⺶_习_习〕
绑	〔纟_三_阝_阝〕
蹲	〔_丷_酉_寸〕
谭	〔讠_覀_日_十〕
眨	〔目__之〕
佑	〔亻__口〕
妓	〔女_十_又〕
兑	〔丷_口_儿〕
芙	〔艹_二_人〕
巫	〔工_人_人〕
撕	〔扌_其_斤〕
孕	〔_丿_子〕
陀	〔阝_宀_匕〕
屁	〔尸__匕〕
毯	〔毛_火_火〕
胃	〔田_〕
劈	〔尸_口_辛_刀〕
壳	〔士_冖_几〕
肝	〔月_一_十〕
冈	〔冂_乂〕
眸	〔目_厶_牛〕
夷	〔大_弓〕
鸦	〔牙_鸟〕
贿	〔贝__〕
亨	〔亠_口_了〕
荆	〔艹_一_廾_刂〕
诵	〔讠__〕
勋	〔口_贝_力〕
粹	〔米_亠_人_人_十〕
杖	〔木_一_乂〕
魄	〔白_鬼〕
钓	〔钅_勹_丶〕
尹	〔尹〕
腕	〔月_宀_夕_⺋〕
兮	〔八_一_〕
彬	〔木_木_彡〕
搂	〔扌_米_女〕
棺	〔木_宀_〕
嵌	〔山_甘_欠〕
脊	〔_人_〕
佣	〔亻_用〕
拱	〔扌__八〕
荫	〔艹_阝_月〕
苹	〔艹_一_〕
啸	〔口_肀__八〕
傍	〔亻__冖_方〕
哉	〔𢦏_口〕
涅	〔氵_日_土〕
譬	〔尸_口_辛_言〕
翅	〔十_又_习_习〕
禅	〔礻_丷_日_十〕
乞	〔_乙〕
肆	〔镸_肀_二〕
笛	〔⺮_由〕
辜	〔十_口_辛〕
栋	〔木__小〕
喀	〔口_宀_夂_口〕
哇	〔口_土_土〕
撰	〔扌_巳_巳__八〕
蜡	〔虫__日〕
煞	〔⺈_彐_攵_灬〕
宛	〔宀_夕_⺋〕
弊	〔氺_冂_攵_廾〕
仑	〔人_匕〕
奠	〔丷_酉_大〕
谐	〔讠__匕_白〕
鹅	〔手_戈_鸟〕
俏	〔亻_⺌_〕
姬	〔女_臣〕
鼎	〔目__丆_〕
羡	〔⺷_冫_欠〕
芦	〔艹_户〕
拂	〔扌_弓_〕
晒	〔日_西〕
诈	〔讠__〕
兔	〔⺈_口_儿_丶〕
蕴	〔艹_纟_日_皿〕
睹	〔目_者〕
耽	〔耳_冖_儿〕
猴	〔犭_亻__矢〕
镕	〔钅_穴_人_口〕
驼	〔马_宀_匕〕
坠	〔阝_人_土〕
朽	〔木_一_〕
弓	〔弓〕
吏	〔一_口_乂〕
艘	〔舟_臼_丨_又〕
彦	〔立_丿_彡〕
悼	〔忄__日_十〕
祁	〔礻_阝〕
憎	〔忄_丷__日〕
涯	〔氵_厂_土_土〕
斩	〔_斤〕
焕	〔火_⺈__大〕
聂	〔耳_又_又〕
钞	〔钅_小_丿〕
脂	〔月_匕_日〕
瓷	〔冫_欠_一__乙_丶〕
腻	〔月_弋_二_贝〕
逮	〔辶__氺〕
坝	〔土_贝〕
伺	〔亻__一_口〕
壤	〔土_亠_口_口__〕
雁	〔厂_亻_隹〕
陋	〔阝__一_冂_人〕
幢	〔巾_立_日_土〕
烤	〔火_耂_一_〕
蔽	〔艹_氺_冂_攵〕
沫	〔氵_一_木〕
骆	〔马_夂_口〕
锻	〔钅__三_殳〕
茵	〔艹_因〕
掷	〔扌__大_阝〕
塌	〔土_日_习_习〕
拢	〔扌_龙〕
喧	〔口_宀_二_日〕
垒	〔厶_厶_厶_土〕
樊	〔木_乂_乂_木_大〕
兜	〔_白__儿〕
甸	〔勹_田〕
晌	〔日__口〕
垫	〔扌_九_丶_土〕
夭	〔_大〕
坪	〔土_一_〕
汛	〔氵_⺄_十〕
迭	〔辶__人〕
碌	〔石_彐_氺〕
恍	〔忄_⺌_兀〕
癌	〔疒_口_口_口_山〕
暮	〔艹_日_大_日〕
盏	〔戋_皿〕
啤	〔口___十〕
膨	〔月_士_口__彡〕
剖	〔立_口_刂〕
昧	〔日_二_小〕
肺	〔月_一_巾〕
寇	〔宀_二_儿__又〕
轩	〔_一_十〕
饲	〔饣__一_口〕
蔑	〔艹_罒_戊_丶〕
乒	〔丘_丿〕
冶	〔冫_厶_口〕
逛	〔辶_犭_王〕
囚	〔囗_人〕
膜	〔月_艹_日_大〕
屑	〔尸_⺌_〕
袜	〔衤_一_木〕
樱	〔木_贝_贝_女〕
矢	〔矢〕
骇	〔马_亠__人〕
宠	〔宀_龙〕
挫	〔扌_人_人_土〕
擅	〔扌_亠_囗_口_日_一〕
缎	〔纟__三_殳〕
澡	〔氵_口_口_口_木〕
汁	〔氵_十〕
畔	〔田_半〕
敷	〔甫_方_攵〕
堕	〔阝___土〕
叮	〔口_丁〕
鞠	〔革_勹_米〕
蕙	〔艹__心〕
愣	〔忄_罒_方〕
粘	〔米__口〕
哗	〔口_亻__十〕
揉	〔扌__乛_亅_丿_木〕
杏	〔木_口〕
淹	〔氵_大_日_乚〕
魁	〔鬼__十〕
爪	〔爪〕
驴	〔马_户〕
卒	〔亠_人_人_十〕
洽	〔氵_人_一_口〕
妞	〔女__十〕
犬	〔大_丶〕
烁	〔火__小〕
僻	〔亻_尸_口_辛〕
甩	〔_乚〕
禄	〔礻_彐_氺〕
踩	〔_爫_木〕
卸	〔_一_止_卩〕
稚	〔禾_隹〕
埔	〔土_甫〕
捞	〔扌_艹_冖_力〕
阎	〔门_⺈_臼〕
廓	〔广_亠_口_子_阝〕
沧	〔氵_人_⺋〕
肢	〔月_十_又〕
砸	〔石_匚_巾〕
缚	〔纟_甫_寸〕
嫉	〔女_疒_矢〕
啼	〔口__冖_巾〕
勿	〔勹_〕
磋	〔石_⺶_工〕
鸽	〔人_一_口_鸟〕
惭	〔忄__斤〕
挚	〔扌_九_丶_手〕
勘	〔其__力〕
咸	〔戊_一_口〕
邱	〔丘_阝〕
俞	〔人_一__刂〕
伞	〔人_〕
邵	〔刀_口_阝〕
讼	〔讠_八_厶〕
郡	〔尹_口_阝〕
蓉	〔艹_穴_人_口〕
煮	〔者_灬〕
缅	〔纟_丆_囗_〢_二〕
渗	〔氵_厶_大_彡〕
陡	〔阝_走〕
捆	〔扌_囗_木〕
缔	〔纟__冖_巾〕
簇	〔⺮_方__矢〕
禽	〔人_亠_乂_凵_冂_厶〕
搅	〔扌__冖_见〕
梨	〔禾_刂_木〕
滔	〔氵_爫_臼〕
襟	〔衤_木_木_示〕
刃	〔刀_丶〕
枉	〔木_王〕
麟	〔广__〢__匕_米_夕_〕
凛	〔冫_亠_囗_口_示〕
苟	〔艹_勹_口〕
绮	〔纟_大_丁_口〕
姥	〔女_耂_匕〕
蒸	〔艹_乛_水_一_灬〕
锣	〔钅_罒_夕〕
瑶	〔王_爫__十_凵〕
枣	〔木__〕
咧	〔口_一_夕_刂〕
霉	〔__母〕
诧	〔讠_宀__七〕
啥	〔口_人_舌〕
踱	〔_广_廿_又〕
靖	〔立_龶_〕
澄	〔氵__一_口_〕
衙	〔行_工__口〕
妃	〔女_己〕
遏	〔辶_日_匃〕
尿	〔尸_水〕
莹	〔艹_冖_王_丶〕
熙	〔臣_巳_灬〕
铸	〔钅_三_丿_寸〕
龚	〔龙__八〕
馨	〔士__殳_禾_日〕
奎	〔大_土_土〕
揽	〔扌_〢__见〕
潭	〔氵_覀_日_十〕
菌	〔艹_囗_禾〕
崩	〔山_月_月〕
捡	〔扌_人_二_〕
叨	〔口_刀〕
酿	〔酉_丶_艮〕
睦	〔目_土_八_土〕
榻	〔木_日_习_习〕
楣	〔木__目〕
隙	〔阝_小_日_小〕
俭	〔亻_人_二_〕
焚	〔木_木_火〕
愕	〔忄_口_口_二_〕
奢	〔大_者〕
丸	〔九_丶〕
浆	〔丬_夕_水〕
婶	〔女_宀_申〕
鞍	〔革_宀_女〕
瞩	〔目_尸__虫_冂〕
磕	〔石_土_厶_皿〕
熬	〔龶__丿_灬_灬〕
浇	〔氵__兀〕
裴	〔非_亠_〕
捣	〔扌_鸟_山〕
嚼	〔口_爫_罒__寸〕
铅	〔钅_几_口〕
窟	〔穴_尸_屮_凵〕
逾	〔辶_人_一__刂〕
喇	〔口_木_口_刂〕
詹	〔⺈_厂_八_言〕
迄	〔辶__乙〕
楞	〔木_罒_方〕
炒	〔火_小_丿〕
佟	〔亻_夂_〕
斐	〔非_文〕
帖	〔巾__口〕
噪	〔口_口_口_口_木〕
棠	〔⺌_冖_口_木〕
贬	〔贝__之〕
摧	〔扌_山_隹〕
莽	〔艹_大_丶_廾〕
妾	〔立_女〕
蹄	〔__冖_巾〕
窘	〔穴_尹_口〕
眷	〔_目〕
枫	〔木_几_乂〕
坤	〔土_申〕
扁	〔户_〕
匀	〔勹_冫〕
耿	〔耳_火〕
呐	〔口_冂_人〕
谴	〔讠_辶_中_一_〕
呻	〔口_申〕
丐	〔一__〕
栈	〔木_戋〕
斧	〔八_乂_斤〕
汰	〔氵_大_丶〕
阀	〔门_亻_戈〕
撇	〔扌_氺_冂_攵〕
暇	〔日__二__又〕
呕	〔口_匚_乂〕
茜	〔艹_西〕
氧	〔气_羊〕
狡	〔犭_亠_八_乂〕
菱	〔艹_土_八_夂〕
痒	〔疒_羊〕
昼	〔尸__日_一〕
溃	〔氵_中_一_贝〕
辫	〔辛_纟_辛〕
窥	〔穴_二_人_见〕
缕	〔纟_米_女〕
缀	〔纟_又_又_又_又〕
簿	〔⺮_氵_甫_寸〕
冀	〔_匕_田__八〕
烫	〔氵___火〕
靴	〔革_亻_〕
慷	〔忄_广__氺〕
廖	〔广_习_习_人_彡〕
琐	〔王_⺌_贝〕
旭	〔九_日〕
俘	〔亻_爫_子〕
膛	〔月_⺌_冖_口_土〕
瞻	〔目_⺈_厂_八_言〕
敛	〔人_二__攵〕
璇	〔王_方__乛_〕
豹	〔豸_勹_丶〕
郝	〔土__八_阝〕
窜	〔穴_口_口_丨〕
绞	〔纟_亠_八_乂〕
阮	〔阝_二_儿〕
旷	〔日_广〕
蚀	〔饣_虫〕
忖	〔忄_寸〕
涩	〔氵_刀_丶_止〕
婿	〔女_乛__〕
崭	〔山__斤〕
诡	〔讠_⺈_厂_⺋〕
蒲	〔艹_氵_甫〕
膏	〔亠_口_冖_口_〕
橱	〔木_厂_一_口__寸〕
虐	〔虍_匚_一〕
磊	〔石_石_石〕
葱	〔艹_勹__丶_心〕
灼	〔火_勹_丶〕
沸	〔氵_弓_〕
巢	〔巛_日_木〕
镶	〔钅_亠_口_口__〕
嗽	〔口_木_口_欠〕
镖	〔钅_覀_示〕
冥	〔冖_日_亠_八〕
诃	〔讠_丁_口〕
乓	〔丘_丶〕
梢	〔木_⺌_〕
抒	〔扌__乛_亅〕
娥	〔女_手_戈〕
蔓	〔艹_日_罒_又〕
琦	〔王_大_丁_口〕
嘟	〔口_者_阝〕
渺	〔氵_目_小_丿〕
蓓	〔艹_亻_立_口〕
倩	〔亻_龶_〕
沛	〔氵_一_巾〕
烘	〔火__八〕
莺	〔艹_冖_鸟〕
讥	〔讠_几〕
棕	〔木_宀_示〕
藻	〔艹_氵_口_口_口_木〕
陛	〔阝__匕_土〕
碟	〔石_世__木〕
凸	〔丨_一_丨__一〕
侣	〔亻_口_口〕
俺	〔亻_大_日_乚〕
朦	〔月_艹_冖_一_豕〕
圭	〔土_土〕
拣	〔扌___八〕
咯	〔口_夂_口〕
颓	〔禾_几_页〕
槐	〔木_鬼〕
拙	〔扌_屮_凵〕
熄	〔火_自_心〕
斟	〔其___十〕
咙	〔口_龙〕
虞	〔虍_口_一_大〕
禹	〔_虫_冂〕
绷	〔纟_月_月〕
黯	〔_土_灬_立_日〕
沪	〔氵_户〕
擒	〔扌_人_亠_乂_凵_冂_厶〕
帧	〔巾__贝〕
芽	〔艹_牙〕
嗡	〔口_八_厶_习_习〕
芭	〔艹_巴〕
倏	〔亻_丨_夂_大_丶〕
湛	〔氵_其_〕
橡	〔木_⺈_口_〕
胧	〔月_龙〕
瞄	〔目_艹_田〕
乍	〔_〕
谬	〔讠_习_习_人_彡〕
嘶	〔口_其_斤〕
缆	〔纟_〢__见〕
毙	〔_匕_一_夕_匕〕
翩	〔户__习_习〕
潇	〔氵_艹_肀__八〕
吱	〔口_十_又〕
叩	〔口_卩〕
栅	〔木___一〕
钮	〔钅__十〕
绢	〔纟_口_〕
尧	〔_兀〕
丙	〔一_冂_人〕
屯	〔_凵〕
婢	〔女___十〕
轴	〔_由〕
蛙	〔虫_土_土〕
悯	〔忄_门_文〕
浏	〔氵_文_刂〕
缸	〔_十_凵_工〕
杉	〔木_彡〕
寝	〔宀_丬_彐_冖_又〕
叭	〔口_八〕
菩	〔艹_立_口〕
僚	〔亻_大_丷_日_小〕
蝇	〔虫_口_日_乚〕
襄	〔亠_口_口__〕
庚	〔广__人〕
孽	〔艹___辛_子〕
徊	〔彳_囗_口〕
匣	〔匚_甲〕
灶	〔火_土〕
梭	〔木_厶_八_夂〕
嘎	〔口_一_自_戈〕
垦	〔艮_土〕
澜	〔氵_门_木_〕
熏	〔千__二_灬〕
绰	〔纟__日_十〕
虔	〔虍_文〕
冉	〔冂_土〕
咏	〔口_永〕
镑	〔钅__冖_方〕
酱	〔丬_夕_酉〕
筝	〔⺮_⺈_〕
讳	〔讠__〕
厕	〔厂_贝_刂〕
札	〔木_乚〕
伶	〔亻_人_〕
宵	〔宀_⺌_〕
藉	〔艹_耒__日〕
闺	〔门_土_土〕
帷	〔巾_隹〕
兢	〔十_口_儿_十_口_儿〕
蓦	〔艹_日_大_马〕
牡	〔牜_土〕
厮	〔厂_其_斤〕
撼	〔扌_戊_一_口_心〕
擎	〔艹_勹_口_攵_手〕
觅	〔爫_见〕
芸	〔艹_二_厶〕
檐	〔木_⺈_厂_八_言〕
炳	〔火_一_冂_人〕
褂	〔衤_土_土_卜〕
筷	〔⺮_忄__大〕
挟	〔扌_二_火〕
眯	〔目_米〕
霓	〔_臼_儿〕
瘫	〔疒_又_隹〕
缪	〔纟_习_习_人_彡〕
橘	〔木__乛_亅_丿_冏〕
瞅	〔目_禾_火〕
揣	〔扌_山_而〕
尴	〔尢_〢__皿〕
虾	〔虫_一_卜〕
尬	〔尢_人_〕
墅	〔日_土__乛_亅_土〕
聋	〔龙_耳〕
巍	〔山_禾_女_鬼〕
袱	〔衤_亻_大_丶〕
禀	〔亠_囗_口_示〕
苔	〔艹_厶_口〕
牟	〔厶_牛〕
徘	〔彳_非〕
絮	〔女_口_糸〕
茄	〔艹_力_口〕
珀	〔王_白〕
庵	〔广_大_日_乚〕
募	〔艹_日_大_力〕
砂	〔石_小_丿〕
霖	〔_木_木〕
搀	〔扌_⺈_口_儿_〕
窑	〔穴__十_凵〕
龟	〔⺈_日_乚〕
啪	〔口_扌_白〕
虏	〔虍_力〕
咪	〔口_米〕
螺	〔虫_田_糸〕
匈	〔勹_乂_凵〕
跋	〔__又_丶〕
嗦	〔口_十_冖_糸〕
苑	〔艹_夕_⺋〕
燥	〔火_口_口_口_木〕
岔	〔八_刀_山〕
寥	〔宀_习_习_人_彡〕
扛	〔扌_工〕
庐	〔广_户〕
谜	〔讠_辶_米〕
缉	〔纟_口_耳〕
蚁	〔虫_丶_乂〕
砰	〔石_一_〕
醋	〔酉__日〕
赁	〔亻__士_贝〕
秉	〔禾_〕
辐	〔_一_口_田〕
嗳	〔口_爫_冖__又〕
揪	〔扌_禾_火〕
蔚	〔艹_尸_示_寸〕
酋	〔丷_酉〕
溅	〔氵_贝_戋〕
厘	〔厂_日_土〕
肘	〔月_寸〕
惘	〔忄_罔〕
唔	〔口_工__口〕
暨	〔_旡_日_一〕
琢	〔王_豕_丶〕
秽	〔禾_山_夕〕
珂	〔王_丁_口〕
汹	〔氵_乂_凵〕
霄	〔_⺌_〕
萌	〔艹_日_月〕
瑜	〔王_人_一__刂〕
璐	〔王__夂_口〕
嗅	〔口_自_大_丶〕
怡	〔忄_厶_口〕
蜀	〔罒_勹_虫〕
戳	〔习_习_隹_戈〕
眶	〔目_匚_王〕
蝴	〔虫_十_口_月〕
嘘	〔口_虍_业〕
杠	〔木_工〕
娴	〔女_门_木〕
枢	〔木_匚_乂〕
忿	〔八_刀_心〕
孜	〔子_攵〕
稼	〔禾_宀_豕〕
萎	〔艹_禾_女〕
卵	〔_丶_丿_卩_丶〕
茱	〔艹__小〕
蝎	〔虫_日_匃〕
髦	〔髟_毛〕
挠	〔扌__兀〕
滤	〔氵_虍_心〕
绽	〔纟_定〕
竿	〔⺮_一_十〕
炯	〔火_冋〕
诀	〔讠__大〕
垮	〔土_大_二_〕
舜	〔爫_冖_夕_〕
拴	〔扌_人_王〕
矫	〔矢__大_〕
馈	〔饣_中_一_贝〕
懊	〔忄__米_大〕
闸	〔门_甲〕
翎	〔人__习_习〕
崎	〔山_大_丁_口〕
倪	〔亻_臼_儿〕
粪	〔米__八〕
蔼	〔艹_讠_日_匃〕
浊	〔氵_虫〕
锤	〔钅_千_艹_二〕
褐	〔衤_日_匃〕
雯	〔_文〕
隧	〔阝_辶_丷_豕〕
嗤	〔口_屮_一_虫〕
叱	〔口_〕
瘤	〔疒__丶_刀_田〕
溉	〔氵__旡〕
腮	〔月_田_心〕
扳	〔扌_⺁_又〕
舶	〔舟_白〕
屉	〔尸_世_〕
蹦	〔_山_月_月〕
炕	〔火_亠_几〕
梧	〔木_工__口〕
嚣	〔口_口_页_口_口〕
唾	〔口_千_艹_二〕
贮	〔贝_宀_一〕
剔	〔日_勹__刂〕
弧	〔弓_瓜〕
邢	〔一_廾_阝〕
琉	〔王_亠_厶_〕
沦	〔氵_人_匕〕
氓	〔亡__〕
桓	〔木_二_日〕
踌	〔_三_丿_寸〕
凿	〔业__凵〕
炬	〔火_匚_〕
垄	〔龙_土〕
娟	〔女_口_〕
摹	〔艹_日_大_手〕
庇	〔广__匕〕
脯	〔月_甫〕
芯	〔艹_心〕
泻	〔氵_冖_一__一〕
瓣	〔辛_瓜_辛〕
肇	〔户_攵_肀_二〕
麽	〔广_木_木__厶〕
栖	〔木_西〕
狸	〔犭_日_土〕
篱	〔⺮_亠_乂_凵_冂_厶〕
喽	〔口_米_女〕
棘	〔木_冂_木_冂〕
瑾	〔王_廿_口_王〕
溶	〔氵_穴_人_口〕
眩	〔目_亠__厶〕
煎	〔__刂_灬〕
诅	〔讠_且〕
竣	〔立_厶_八_夂〕
蟹	〔⺈_用_刀_牛_虫〕
葫	〔艹_十_口_月〕
诫	〔讠_戈_廾〕
绥	〔纟_爫_女〕
兀	〔兀〕
诬	〔讠_工_人_人〕
璧	〔尸_口_辛_王_丶〕
